video_id,video_url,title,description,upload_date,timestamp,duration,view_count,like_count,comment_count,repost_count,posted_at_utc,posted_at_local,upload_date_dt
7594277449698004238,https://www.tiktok.com/@humbletoker/video/7594277449698004238,"Goodnight to everyone EXCEPT challange, level hard. Follow for more. ...","Goodnight to everyone EXCEPT challange, level hard. Follow for more. I’m single and lonely #goodnight #influencer ",20260112,1768180540,64,656,28,3,0,2026-01-12 01:15:40+00:00,2026-01-11 20:15:40-05:00,2026-01-12
7593500470837087501,https://www.tiktok.com/@humbletoker/video/7593500470837087501,TikTok video #7593500470837087501,,20260109,1767999638,73,320,18,3,0,2026-01-09 23:00:38+00:00,2026-01-09 18:00:38-05:00,2026-01-09
7592046457117625613,https://www.tiktok.com/@humbletoker/video/7592046457117625613,This may be easier than 2% actually… goodnight to everyone who follow...,This may be easier than 2% actually… goodnight to everyone who follows me! #goodnighttoeveryoneexcept ,20260106,1767661102,63,1339,53,9,63,2026-01-06 00:58:22+00:00,2026-01-05 19:58:22-05:00,2026-01-06
7542733065643232526,https://www.tiktok.com/@humbletoker/video/7542733065643232526,Yeezy SpongeBob hamburger XQC. Comment if you got a goodnight 😴 ,Yeezy SpongeBob hamburger XQC. Comment if you got a goodnight 😴 ,20250826,1756179438,62,1965,68,11,72,2025-08-26 03:37:18+00:00,2025-08-25 23:37:18-04:00,2025-08-26
7542350925122293006,https://www.tiktok.com/@humbletoker/video/7542350925122293006,"Goodnight to everyone except… Labubu, Africa, Sydney Sweeney. I’m goi...","Goodnight to everyone except… Labubu, Africa, Sydney Sweeney. I’m going crazy here. Follow @humbletoker please ",20250825,1756090455,62,8285,137,31,343,2025-08-25 02:54:15+00:00,2025-08-24 22:54:15-04:00,2025-08-25
7541972554903309598,https://www.tiktok.com/@humbletoker/video/7541972554903309598,"Goodnight to everyone except… this is a hard one, comment if you got ...","Goodnight to everyone except… this is a hard one, comment if you got out on super specific!! ",20250824,1756002338,62,1762,55,9,68,2025-08-24 02:25:38+00:00,2025-08-23 22:25:38-04:00,2025-08-24
7536764777184496951,https://www.tiktok.com/@humbletoker/video/7536764777184496951,Goodnight to everyone except… this one’s a little easier than usual. ...,Goodnight to everyone except… this one’s a little easier than usual. Comment if you got a goodnight! ,20250810,1754789827,61,3172,86,15,146,2025-08-10 01:37:07+00:00,2025-08-09 21:37:07-04:00,2025-08-10
7535666289830890807,https://www.tiktok.com/@humbletoker/video/7535666289830890807,Did anyone get super specific?!😄 #goodnight ,Did anyone get super specific?!😄 #goodnight ,20250807,1754534042,62,1222,36,9,31,2025-08-07 02:34:02+00:00,2025-08-06 22:34:02-04:00,2025-08-07
7531214869471759647,https://www.tiktok.com/@humbletoker/video/7531214869471759647,If anyone gets the last slide you get a double goodnight 😆,If anyone gets the last slide you get a double goodnight 😆,20250726,1753497623,62,3578,75,6,203,2025-07-26 02:40:23+00:00,2025-07-25 22:40:23-04:00,2025-07-26
7529733595515129102,https://www.tiktok.com/@humbletoker/video/7529733595515129102,The last slides gonna get a lot of ppl out 😂 #Goodnight to everyone e...,The last slides gonna get a lot of ppl out 😂 #Goodnight to everyone except ,20250722,1753152750,61,2699,88,11,133,2025-07-22 02:52:30+00:00,2025-07-21 22:52:30-04:00,2025-07-22
7529357311370939703,https://www.tiktok.com/@humbletoker/video/7529357311370939703,Did anyone get super specific? 😄 #goodnight ,Did anyone get super specific? 😄 #goodnight ,20250721,1753065143,62,1057,55,7,58,2025-07-21 02:32:23+00:00,2025-07-20 22:32:23-04:00,2025-07-21
7528949556499844365,https://www.tiktok.com/@humbletoker/video/7528949556499844365,Do you guys believe in any of the conspiracies? 😭 #Goodnight #Coldpla...,Do you guys believe in any of the conspiracies? 😭 #Goodnight #Coldplay #AndyByron ,20250720,1752970205,61,3473,176,12,29,2025-07-20 00:10:05+00:00,2025-07-19 20:10:05-04:00,2025-07-20
7527514089329790222,https://www.tiktok.com/@humbletoker/video/7527514089329790222,Anyone know the last one? 😁 should be easy… #goodnight ,Anyone know the last one? 😁 should be easy… #goodnight ,20250716,1752635961,63,2834,89,24,174,2025-07-16 03:19:21+00:00,2025-07-15 23:19:21-04:00,2025-07-16
7527108845336792375,https://www.tiktok.com/@humbletoker/video/7527108845336792375,Comment if I owe you a #goodnight !! 😆,Comment if I owe you a #goodnight !! 😆,20250715,1752541633,67,1725,62,11,81,2025-07-15 01:07:13+00:00,2025-07-14 21:07:13-04:00,2025-07-15
7526766564419341623,https://www.tiktok.com/@humbletoker/video/7526766564419341623,Anyone get super specific? 😂💋✋ #goodnight ,Anyone get super specific? 😂💋✋ #goodnight ,20250714,1752461931,62,1152,53,16,35,2025-07-14 02:58:51+00:00,2025-07-13 22:58:51-04:00,2025-07-14
7526044374434729230,https://www.tiktok.com/@humbletoker/video/7526044374434729230,Did anyone get super specific? 😆 comment if I owe you a #GOODNIGHT ,Did anyone get super specific? 😆 comment if I owe you a #GOODNIGHT ,20250712,1752293792,61,6733,115,12,484,2025-07-12 04:16:32+00:00,2025-07-12 00:16:32-04:00,2025-07-12
7525640287578787103,https://www.tiktok.com/@humbletoker/video/7525640287578787103,If you got out on the last slide… 😅 I’m sorry #goodnight ,If you got out on the last slide… 😅 I’m sorry #goodnight ,20250711,1752199681,72,6239,90,15,372,2025-07-11 02:08:01+00:00,2025-07-10 22:08:01-04:00,2025-07-11
7524529228834983182,https://www.tiktok.com/@humbletoker/video/7524529228834983182,If you know you know 😆 #goodnight ,If you know you know 😆 #goodnight ,20250708,1751941012,66,2518,66,12,172,2025-07-08 02:16:52+00:00,2025-07-07 22:16:52-04:00,2025-07-08
7522326178892385550,https://www.tiktok.com/@humbletoker/video/7522326178892385550,Anyone know the Dax Flame one? 😆 #goodnight,Anyone know the Dax Flame one? 😆 #goodnight,20250702,1751428059,68,3034,84,18,154,2025-07-02 03:47:39+00:00,2025-07-01 23:47:39-04:00,2025-07-02
7521849117081963790,https://www.tiktok.com/@humbletoker/video/7521849117081963790,Comment if you got a goodnight! #goodnight ,Comment if you got a goodnight! #goodnight ,20250630,1751316986,73,1779,69,12,50,2025-06-30 20:56:26+00:00,2025-06-30 16:56:26-04:00,2025-06-30
7521564052322012471,https://www.tiktok.com/@humbletoker/video/7521564052322012471,Did anyone get it on super specific? 😳 #goodnight,Did anyone get it on super specific? 😳 #goodnight,20250630,1751250629,74,11700,141,38,913,2025-06-30 02:30:29+00:00,2025-06-29 22:30:29-04:00,2025-06-30
7521167251282726158,https://www.tiktok.com/@humbletoker/video/7521167251282726158,Did anyone get it on super specific?! 😳 #goodnight,Did anyone get it on super specific?! 😳 #goodnight,20250629,1751158247,72,3750,121,18,228,2025-06-29 00:50:47+00:00,2025-06-28 20:50:47-04:00,2025-06-29
7520082772107595063,https://www.tiktok.com/@humbletoker/video/7520082772107595063,COMMENT IF YOU GOT A #GOODNIGHT !! Did anyone get it on super specific??,COMMENT IF YOU GOT A #GOODNIGHT !! Did anyone get it on super specific??,20250626,1750905746,76,277000,9275,483,18900,2025-06-26 02:42:26+00:00,2025-06-25 22:42:26-04:00,2025-06-26
7519342755303230775,https://www.tiktok.com/@humbletoker/video/7519342755303230775,Goodnight to everyone except… Comment if I owe you a goodnight!! 😴 ,Goodnight to everyone except… Comment if I owe you a goodnight!! 😴 ,20250624,1750733453,63,51000,908,69,4835,2025-06-24 02:50:53+00:00,2025-06-23 22:50:53-04:00,2025-06-24
7519127540263357751,https://www.tiktok.com/@humbletoker/video/7519127540263357751,Comment if you got a good morning :) 🌞 #goodnight ,Comment if you got a good morning :) 🌞 #goodnight ,20250623,1750683406,61,1858,55,14,38,2025-06-23 12:56:46+00:00,2025-06-23 08:56:46-04:00,2025-06-23
7518971343669447991,https://www.tiktok.com/@humbletoker/video/7518971343669447991,Goodnight to everyone except… Did anyone get a gn on super specific? 🤔,Goodnight to everyone except… Did anyone get a gn on super specific? 🤔,20250623,1750646969,68,203100,4009,200,18900,2025-06-23 02:49:29+00:00,2025-06-22 22:49:29-04:00,2025-06-23
7518856355789212983,https://www.tiktok.com/@humbletoker/video/7518856355789212983,Did anyone win from Super Specific? 🤔 #goodnight ,Did anyone win from Super Specific? 🤔 #goodnight ,20250622,1750620211,62,211000,4797,805,17900,2025-06-22 19:23:31+00:00,2025-06-22 15:23:31-04:00,2025-06-22
7518722677914225933,https://www.tiktok.com/@humbletoker/video/7518722677914225933,First good morning vid instead of goodnight ☀️☀️ Have a great day eve...,First good morning vid instead of goodnight ☀️☀️ Have a great day everyone 👍,20250622,1750589192,63,18700,327,24,1088,2025-06-22 10:46:32+00:00,2025-06-22 06:46:32-04:00,2025-06-22
7518596851226922295,https://www.tiktok.com/@humbletoker/video/7518596851226922295,Do they still teach what a mammal is in schools? 🤔 #goodnight,Do they still teach what a mammal is in schools? 🤔 #goodnight,20250622,1750559772,64,158600,3366,255,8377,2025-06-22 02:36:12+00:00,2025-06-21 22:36:12-04:00,2025-06-22
7518237738047458573,https://www.tiktok.com/@humbletoker/video/7518237738047458573,What theme vid should I do next? 🤔 ,What theme vid should I do next? 🤔 ,20250621,1750476166,72,3090,90,39,58,2025-06-21 03:22:46+00:00,2025-06-20 23:22:46-04:00,2025-06-21
7517866483989417271,https://www.tiktok.com/@humbletoker/video/7517866483989417271,TikTok video #7517866483989417271,,20250620,1750389731,70,219600,5882,981,12900,2025-06-20 03:22:11+00:00,2025-06-19 23:22:11-04:00,2025-06-20
7517490052704783629,https://www.tiktok.com/@humbletoker/video/7517490052704783629,Anyone know the last slide? 🤔,Anyone know the last slide? 🤔,20250619,1750302074,62,18700,381,199,1228,2025-06-19 03:01:14+00:00,2025-06-18 23:01:14-04:00,2025-06-19
7517115051220700471,https://www.tiktok.com/@humbletoker/video/7517115051220700471,Comment if you got a goodnight tn 😄,Comment if you got a goodnight tn 😄,20250618,1750214747,61,79500,1431,260,6127,2025-06-18 02:45:47+00:00,2025-06-17 22:45:47-04:00,2025-06-18
7516742370973519117,https://www.tiktok.com/@humbletoker/video/7516742370973519117,🚨Everyone who follows me before 10k gets a special Goodnight! 🚨,🚨Everyone who follows me before 10k gets a special Goodnight! 🚨,20250617,1750127996,65,190300,3909,682,18200,2025-06-17 02:39:56+00:00,2025-06-16 22:39:56-04:00,2025-06-17
7516369352426474798,https://www.tiktok.com/@humbletoker/video/7516369352426474798,Comment to receive your goodnight ✌️,Comment to receive your goodnight ✌️,20250616,1750041143,62,272800,8241,1696,24100,2025-06-16 02:32:23+00:00,2025-06-15 22:32:23-04:00,2025-06-16
7514903961506286878,https://www.tiktok.com/@humbletoker/video/7514903961506286878,Comment if you know the actors 😆,Comment if you know the actors 😆,20250612,1749699952,67,1393,43,11,21,2025-06-12 03:45:52+00:00,2025-06-11 23:45:52-04:00,2025-06-12
7514539097969446186,https://www.tiktok.com/@humbletoker/video/7514539097969446186,Did y’all ever build a dirt hut in Minecraft? 😆,Did y’all ever build a dirt hut in Minecraft? 😆,20250611,1749614985,61,3692,86,27,164,2025-06-11 04:09:45+00:00,2025-06-11 00:09:45-04:00,2025-06-11
7514160603687128366,https://www.tiktok.com/@humbletoker/video/7514160603687128366,Anyone know the TV show from the restaurant slide? 😆,Anyone know the TV show from the restaurant slide? 😆,20250610,1749526894,64,2481,79,21,90,2025-06-10 03:41:34+00:00,2025-06-09 23:41:34-04:00,2025-06-10
7513759914842688814,https://www.tiktok.com/@humbletoker/video/7513759914842688814,Comment if you got a goodnight 😁,Comment if you got a goodnight 😁,20250609,1749433592,58,23000,374,31,1440,2025-06-09 01:46:32+00:00,2025-06-08 21:46:32-04:00,2025-06-09
7513425353528921387,https://www.tiktok.com/@humbletoker/video/7513425353528921387,Comment if you got a goodnight 😁,Comment if you got a goodnight 😁,20250608,1749355674,56,5311,98,18,231,2025-06-08 04:07:54+00:00,2025-06-08 00:07:54-04:00,2025-06-08
7513387289075174702,https://www.tiktok.com/@humbletoker/video/7513387289075174702,Comment if you got a Goodnight! ✌️,Comment if you got a Goodnight! ✌️,20250608,1749346843,56,20700,241,32,1628,2025-06-08 01:40:43+00:00,2025-06-07 21:40:43-04:00,2025-06-08
7513079996349484319,https://www.tiktok.com/@humbletoker/video/7513079996349484319,Comment if you can’t speak English 👍,Comment if you can’t speak English 👍,20250607,1749275279,58,379900,9940,382,37600,2025-06-07 05:47:59+00:00,2025-06-07 01:47:59-04:00,2025-06-07
7512290270671670571,https://www.tiktok.com/@humbletoker/video/7512290270671670571,Comment if you got a goodnight 😁,Comment if you got a goodnight 😁,20250605,1749091415,55,1520,51,10,2,2025-06-05 02:43:35+00:00,2025-06-04 22:43:35-04:00,2025-06-05
7511919761123478827,https://www.tiktok.com/@humbletoker/video/7511919761123478827,Did you get a goodnight? 🤔,Did you get a goodnight? 🤔,20250604,1749005138,51,1478,51,8,1,2025-06-04 02:45:38+00:00,2025-06-03 22:45:38-04:00,2025-06-04
7511165429734427950,https://www.tiktok.com/@humbletoker/video/7511165429734427950,Comment the most unique thing about your self! #hoodbeast #goodnight,Comment the most unique thing about your self! #hoodbeast #goodnight,20250602,1748829522,50,809,29,4,0,2025-06-02 01:58:42+00:00,2025-06-01 21:58:42-04:00,2025-06-02
7510840228563651886,https://www.tiktok.com/@humbletoker/video/7510840228563651886,Comment if you got it! ,Comment if you got it! ,20250601,1748753815,59,691,21,0,1,2025-06-01 04:56:55+00:00,2025-06-01 00:56:55-04:00,2025-06-01
7510432081311272222,https://www.tiktok.com/@humbletoker/video/7510432081311272222,Comment if you got a goodnight ,Comment if you got a goodnight ,20250531,1748658755,66,827,33,13,1,2025-05-31 02:32:35+00:00,2025-05-30 22:32:35-04:00,2025-05-31
