video_id,video_url,title,description,upload_date,timestamp,duration,view_count,like_count,comment_count,repost_count,posted_at_utc,posted_at_local,upload_date_dt,transcript
7594277449698004238,https://www.tiktok.com/@humbletoker/video/7594277449698004238,"Goodnight to everyone EXCEPT challange, level hard. Follow for more. ...","Goodnight to everyone EXCEPT challange, level hard. Follow for more. I’m single and lonely #goodnight #influencer ",20260112,1768180540,64,656,28,3,0,2026-01-12 01:15:40+00:00,2026-01-11 20:15:40-05:00,2026-01-12,"Good night to everyone except 99% of people lose so good luck Starting with a super specific category Anyone taller than Logan Paul at six foot two you do not get a good night tonight Anyone who weight whipped cream straight from the bottle today you do not get a good night tonight And you're going to owns the black night skin and fortnight. This is pretty rare. So if you own it you do not get a good night tonight Anyone with double jointed thumbs you do not get a good night tonight And for the somewhat specific category also make sure you're following if you like the good night videos Anyone who looks up my color on tiktok and actually gets their favorite color I got blue which is my favorite colors. So I unfortunately do not get a good night tonight Anyone who ate at Burger King today you do not get a good night tonight Anyone with blonde eyebrows you do not get a good night tonight And finally the broad category Anyone who's currently wearing a seat belt. Hopefully you're not driving, but either way you do not get a good night tonight And anyone who ate chicken of any type today you do not get a good night tonight"
7593500470837087501,https://www.tiktok.com/@humbletoker/video/7593500470837087501,TikTok video #7593500470837087501,,20260109,1767999638,73,320,18,3,0,2026-01-09 23:00:38+00:00,2026-01-09 18:00:38-05:00,2026-01-09,"Good night to everyone except for the following people. This is the fast food edition and only 3% of people win so good luck Starting with the broad category Anyone whose favorite french fries are from Arbise these are pretty good, but if they're your favorite then you do not get a good night tonight Anyone who ate a whopper from Burger King today you do not get a good night tonight Anyone who went to McDonald's in 2026 and they had a broken ice cream machine I swear these are always broken and if this happened to you this year then you do not get a good night tonight for the somewhat specific category Anyone who's gotten an ununruing in their french fries before this is really lucky, but if it happened to you you do not get a good night tonight Anyone who looks up my type of burger on TikTok and gets a McDonald's burger I got a cool Lego burger when I look this up, but if you get McDonald's then you do not get a good night tonight And you're who's never had an apple pie from McDonald's you do not get a good night tonight For the very specific category And you're new always orders a tall white chocolate mocha from Starbucks if this is your order you do not get a good night tonight And finally the super specific category if you made it this far make sure to follow Anyone who has more than nine fast food apps you do not get a good night tonight"
7592046457117625613,https://www.tiktok.com/@humbletoker/video/7592046457117625613,This may be easier than 2% actually… goodnight to everyone who follow...,This may be easier than 2% actually… goodnight to everyone who follows me! #goodnighttoeveryoneexcept ,20260106,1767661102,63,1339,53,9,63,2026-01-06 00:58:22+00:00,2026-01-05 19:58:22-05:00,2026-01-06,"Good night to everyone except for the following people, only 2% win so good luck. Starting with the broad category. Anyone who doesn't know who this basketball player is, if you don't know him, you do not get a good night tonight. Anyone still wearing Christmas sweaters in January, you do not get a good night tonight. For the somewhat specific category. Anyone with the same birthday as Clavicular, if your birthday is on December 17th, then you do not get a good night tonight. Anyone who's first person that comes up when you press share, then more has died hair. If this person has died hair, you do not get a good night tonight. Anyone who's never heard of the game run, this is on cool math games and if you've never heard of it before, you do not get a good night tonight. For the very specific category. Anyone with a grandpa named Patrick, you do not get a good night tonight. Anyone who recently kidnapped a president, you do not get a good night tonight. Anyone who's the final super specific thing. Anyone wearing polka dot socks, you do not get a good night tonight."
7542733065643232526,https://www.tiktok.com/@humbletoker/video/7542733065643232526,Yeezy SpongeBob hamburger XQC. Comment if you got a goodnight 😴 ,Yeezy SpongeBob hamburger XQC. Comment if you got a goodnight 😴 ,20250826,1756179438,62,1965,68,11,72,2025-08-26 03:37:18+00:00,2025-08-25 23:37:18-04:00,2025-08-26,Today I'm gonna be giving good nights to everyone except for the following people only 6% wins a good luck Starting with the broad category Anyone who owns the Oreo Yeezis you do not get a good night tonight Anyone who calls Twitter X you do not get a good night tonight Anyone wearing a lacossed polo you do not get a good night tonight In to anyone whose first person that comes up when you press share then more has some sort of an accent or funny way of talking If they do you do not get a good night tonight in neither do they For the somewhat specific category Anyone who ate an impossible wopper today comment below if you liked it or not But unfortunately you do not get a good night tonight very specific Anyone who has a dog named Patrick if I discuss your dogs name then you do not get a good night tonight And finally the super specific make sure you follow if you made it as far And anyone who's robbed a bank and gotten away with it I don't think very many people have done this but if you have comment below and you do not get a good night tonight
7542350925122293006,https://www.tiktok.com/@humbletoker/video/7542350925122293006,"Goodnight to everyone except… Labubu, Africa, Sydney Sweeney. I’m goi...","Goodnight to everyone except… Labubu, Africa, Sydney Sweeney. I’m going crazy here. Follow @humbletoker please ",20250825,1756090455,62,8285,137,31,343,2025-08-25 02:54:15+00:00,2025-08-24 22:54:15-04:00,2025-08-25,Good night to everyone except for the following people only 4% win so good luck starting with the broad category and you and who bought a LeBoubou this week you do not get a good night tonight and you and who broke a pencil in half today you do not get a good night tonight and you and who's searched Africa on TikTok before you should know better than to search Africa on TikTok so you do not get a good night tonight and you and whose first person that comes up when you press share then more has a name that starts with a letter R if they do you don't get a good night tonight and neither do they for the somewhat specific category and then who fed chickens or pigeons today you do not get a good night tonight anyone wearing a green shirt you do not get a good night tonight for the very specific category and you and who's wearing two different colored socks doesn't matter what the colors are but if they're different you do not get a good night tonight and for the super specific category make sure to follow if you made it this far anyone born on April 29th 2004 you do not get a good night tonight
7541972554903309598,https://www.tiktok.com/@humbletoker/video/7541972554903309598,"Goodnight to everyone except… this is a hard one, comment if you got ...","Goodnight to everyone except… this is a hard one, comment if you got out on super specific!! ",20250824,1756002338,62,1762,55,9,68,2025-08-24 02:25:38+00:00,2025-08-23 22:25:38-04:00,2025-08-24,"Good night to everyone except for the following people only 7% win so good luck Starting with a broad category Anyone who eat cheeses today you do not get a good night tonight Anyone who watch Shrek 2 you do not get a good night tonight Anyone who searches my color on tiktok and actually gets the same color as the colored socks you're wearing I searched up gray and I'm actually wearing gray socks, so I do not get a good night tonight For the somewhat specific category Anyone who vacuumed their kitchen today this is pretty random, but if you did this you do not get a good night tonight And who's never eaten an Oreo in their life you do not get a good night tonight And you know whose first person that comes up when you press share then more has a name that starts with the letter C You do not get a good night tonight for the very specific category And you know someone named Sergeant Jones if you actually know someone personally in your life named Sergeant Jones you do not get a good night tonight And for the super specific category and Anyone with the exact same birthday as a little Tay"
7536764777184496951,https://www.tiktok.com/@humbletoker/video/7536764777184496951,Goodnight to everyone except… this one’s a little easier than usual. ...,Goodnight to everyone except… this one’s a little easier than usual. Comment if you got a goodnight! ,20250810,1754789827,61,3172,86,15,146,2025-08-10 01:37:07+00:00,2025-08-09 21:37:07-04:00,2025-08-10,Good night to everyone except for the following people 92% of people do so good luck Starting with the broad category Anyone who genuinely thinks cereal is a soup you do not get a good night tonight And you know exactly three cats you do not get a good night tonight Anyone who looks up my song on TikTok and gets the Rick Roll song if that happens then you do not get a good night tonight For the somewhat specific category Anyone with over 2000 unread emails you do not get a good night tonight Anyone who ate pizza with pineapple on it today you do not get a good night tonight And you're in whose the same age as the first person that comes up when you press share then more if you're the same age as this person Then you do not get a good night tonight and they don't either For the very specific category Anyone who knows someone named Jeff Smith if you know someone with this first and last name then you do not get a good night tonight And finally the super specific category make sure you drop a like if you made it this far And you end with the exact same birthday as little Tay you do not get a good night tonight
7535666289830890807,https://www.tiktok.com/@humbletoker/video/7535666289830890807,Did anyone get super specific?!😄 #goodnight ,Did anyone get super specific?!😄 #goodnight ,20250807,1754534042,62,1222,36,9,31,2025-08-07 02:34:02+00:00,2025-08-06 22:34:02-04:00,2025-08-07,"Welcome to my presentation. Today I'll be giving good nights to no one except for the following people only 4% will win so good luck Starting with the broad category Anyone who ate frosted flakes for breakfast you get a good night tonight Anyone who's born in the year 2003 you get a good night tonight Anyone whose first person that comes up when you press share then more is your cousin if this person's your cousin you get a good night tonight and they do too For the somewhat specific category Anyone who's gotten caught shoplifting before you get a good night tonight And you're new only plays Minecraft in peaceful mode you get a good night tonight Anyone with blue colored hair or blue eyes if there's something blue about you you get a good night tonight for the super specific category And you're who's followed before 1k followers you guys get good nights tonight And lastly anyone who can spot at least one of the differences between these two images There's potentially three differences, but if you can see this one of them comment it below and you'll get a good night tonight"
7531214869471759647,https://www.tiktok.com/@humbletoker/video/7531214869471759647,If anyone gets the last slide you get a double goodnight 😆,If anyone gets the last slide you get a double goodnight 😆,20250726,1753497623,62,3578,75,6,203,2025-07-26 02:40:23+00:00,2025-07-25 22:40:23-04:00,2025-07-26,"Good night to no one except six percent of people actually will get a good night tonight Starting with the broad category and in whose watch the new South Park episode about Trump you get a good night tonight And when you ate ramen noodles today you get a good night tonight Anyone who's played a board game with the first person that comes up when you press share then more if you played a board game With this person then you get a good night tonight and they do too For the summer specific category And then who has two dogs that are the same age you get a good night tonight Anyone who follows the official sour patch kids on tiktok even if you check and you didn't know you were following them You still get a good night tonight next anyone with a dad named Larry you get a good night tonight And for the super specific category also make sure to like and follow if you like the good night videos And you know has green colored eyes apparently only two percent of people have this so if this is you you get a good night tonight And you're who's dated an actual character from love Island in real life you get a good night tonight Lastly anyone who's watching this video on an iPhone 4s I don't know if these things still work anymore, but if you're watching on it you get a good night night"
7529733595515129102,https://www.tiktok.com/@humbletoker/video/7529733595515129102,The last slides gonna get a lot of ppl out 😂 #Goodnight to everyone e...,The last slides gonna get a lot of ppl out 😂 #Goodnight to everyone except ,20250722,1753152750,61,2699,88,11,133,2025-07-22 02:52:30+00:00,2025-07-21 22:52:30-04:00,2025-07-22,Good night to everyone except for the following people only 5% win so good luck Starting with a super specific category Anyone with exactly 2009 unread emails you do not get a good night tonight And even with the same birthday as Kylie Jenner you do not get a good night tonight Anyone who's wearing a white shirt with green pants you do not get a good night tonight For the somewhat specific category And in who owns two dogs from the same litter you do not get a good night tonight Anyone who's more than a foot taller than the first person that comes up when you press share then more If you're more than a foot taller than this person then you do not get a good night tonight and they don't either Anyone who drank apples used today you do not get a good night tonight For the broad category also feel free to follow if you like the good night videos Anyone with a birthday in May you do not get a good night tonight And you're anyone who watched love Island today you do not get a good night tonight And for the very final thing make sure you hit that like button if you made it this far And then who didn't make their bed this morning you do not get a good night tonight
